host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,property_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
4283.0,0.96,1.0,0.0,3.0,1.0,1.0,47.636289038357184,-122.37102519997764,1,Apartment,4,1.0,1.0,1.0,,85.0,,,2,5.0,1,365,1,14,41,71,346,207,4201.0,2678.0,95.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0,moderate,0,0,2,4.07
3723.0,0.98,1.0,1.0,6.0,1.0,1.0,47.63912312136253,-122.36566646439582,1,Apartment,4,1.0,1.0,1.0,,150.0,100.0,40.0,1,0.0,2,90,1,13,13,16,291,43,3544.0,2682.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,strict,1,1,6,1.48
3247.0,0.67,1.0,0.0,2.0,1.0,1.0,47.62972413157736,-122.3694831756176,1,House,11,4.5,5.0,7.0,,975.0,1000.0,300.0,10,25.0,4,30,1,1,6,17,220,20,3199.0,2799.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,strict,0,0,2,1.15
3465.0,,,0.0,1.0,1.0,1.0,47.638473201766416,-122.36927912263018,1,Apartment,3,1.0,0.0,2.0,,100.0,,,1,0.0,1,1125,1,0,0,0,143,0,,,,,,,,,,0,0,flexible,0,0,1,
4173.0,1.0,,0.0,2.0,1.0,1.0,47.63291840276724,-122.37247063402224,1,House,6,2.0,3.0,3.0,,450.0,700.0,125.0,6,15.0,1,1125,1,30,60,90,365,38,3949.0,2748.0,92.0,9.0,9.0,10.0,10.0,9.0,9.0,0,0,strict,0,0,1,0.89
4512.0,,,0.0,1.0,1.0,1.0,47.63052548240193,-122.36617406518856,1,House,2,1.0,1.0,1.0,,120.0,,40.0,1,30.0,1,6,1,0,0,27,302,17,2883.0,2774.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,strict,0,0,1,2.45
3990.0,1.0,1.0,1.0,1.0,1.0,1.0,47.63660544532006,-122.36851905844937,1,House,2,1.0,1.0,1.0,,80.0,150.0,,1,10.0,3,14,1,20,49,71,346,58,3383.0,2704.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,moderate,0,0,1,2.46
3837.0,1.0,1.0,1.0,5.0,1.0,1.0,47.64016054121466,-122.37585597885769,1,Cabin,2,1.0,1.0,1.0,,60.0,150.0,25.0,1,0.0,2,7,1,22,42,42,100,173,3772.0,2679.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0,strict,1,1,5,4.73
4032.0,,1.0,0.0,1.0,1.0,1.0,47.63241029982899,-122.35721606914028,1,Apartment,2,1.0,1.0,1.0,,90.0,,,1,0.0,3,1125,1,6,36,66,341,8,2872.0,2816.0,97.0,10.0,9.0,10.0,9.0,10.0,10.0,0,0,strict,0,0,1,1.22
3723.0,0.98,1.0,1.0,6.0,1.0,1.0,47.63749172022628,-122.3668885909212,1,Apartment,4,1.0,1.0,1.0,,150.0,100.0,40.0,1,0.0,2,365,1,6,19,49,324,32,3293.0,2691.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,strict,1,1,6,1.55
4609.0,1.0,1.0,1.0,1.0,1.0,1.0,47.63548170841016,-122.35847776162176,1,House,2,1.0,1.0,1.0,,95.0,,15.0,2,15.0,3,7,1,0,0,0,153,181,4304.0,2716.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,moderate,1,0,1,3.33
3769.0,1.0,1.0,0.0,1.0,1.0,1.0,47.63721407513561,-122.3600457614146,1,House,2,1.0,1.0,1.0,,99.0,500.0,150.0,1,0.0,3,1125,1,21,21,21,229,8,2919.0,2695.0,97.0,10.0,10.0,9.0,10.0,10.0,9.0,0,0,strict,0,0,1,0.98
